"Date(UTC)","UnixTimeStamp","Value (Wei)"
"2/20/2021","1613779200","474173792106"
"2/21/2021","1613865600","474825875190"
"2/22/2021","1613952000","476721580282"
"2/23/2021","1614038400","474447970103"
"2/24/2021","1614124800","473680315354"
"2/25/2021","1614211200","475343515660"
"2/26/2021","1614297600","473051765813"
"2/27/2021","1614384000","477894833031"
"2/28/2021","1614470400","471970536857"
"3/1/2021","1614556800","473891719160"
"3/2/2021","1614643200","472812260930"
"3/3/2021","1614729600","471951155627"
"3/4/2021","1614816000","471601230671"
"3/5/2021","1614902400","472305972953"
"3/6/2021","1614988800","471712100502"
"3/7/2021","1615075200","473260890163"
"3/8/2021","1615161600","471535166597"
"3/9/2021","1615248000","472214991123"
"3/10/2021","1615334400","471784418026"
"3/11/2021","1615420800","471311658909"
"3/12/2021","1615507200","471863511802"
"3/13/2021","1615593600","472544887282"
"3/14/2021","1615680000","471485128735"
"3/15/2021","1615766400","471202721727"
"3/16/2021","1615852800","472402750192"
"3/17/2021","1615939200","470596583681"
"3/18/2021","1616025600","471485965968"
"3/19/2021","1616112000","475982725191"
"3/20/2021","1616198400","472323152139"
"3/21/2021","1616284800","472149338081"
"3/22/2021","1616371200","470701404412"
"3/23/2021","1616457600","470597948395"
"3/24/2021","1616544000","470745360740"
"3/25/2021","1616630400","470596183896"
"3/26/2021","1616716800","471347884834"
"3/27/2021","1616803200","470509059068"
"3/28/2021","1616889600","470469397739"
"3/29/2021","1616976000","470933459876"
"3/30/2021","1617062400","470690103550"
"3/31/2021","1617148800","322700721312"
"4/1/2021","1617235200","240728227594"
"4/2/2021","1617321600","228677582459"
"4/3/2021","1617408000","229253753799"
"4/4/2021","1617494400","228864358010"
"4/5/2021","1617580800","228532480056"
"4/6/2021","1617667200","229707310739"
"4/7/2021","1617753600","228368037472"
"4/8/2021","1617840000","229457008405"
"4/9/2021","1617926400","228759034494"
"4/10/2021","1618012800","228915162972"
"4/11/2021","1618099200","229617940555"
"4/12/2021","1618185600","229173672848"
"4/13/2021","1618272000","229825465781"
"4/14/2021","1618358400","228030999583"
"4/15/2021","1618444800","230258713629"
"4/16/2021","1618531200","231346717181"
"4/17/2021","1618617600","227972219185"
"4/18/2021","1618704000","232229302300"
"4/19/2021","1618790400","227981743567"
"4/20/2021","1618876800","226859538526"
"4/21/2021","1618963200","226601027264"
"4/22/2021","1619049600","226251571608"
"4/23/2021","1619136000","227130414373"
"4/24/2021","1619222400","226898399083"
"4/25/2021","1619308800","228373453491"
"4/26/2021","1619395200","228205162227"
"4/27/2021","1619481600","227612028535"
"4/28/2021","1619568000","227444628206"
"4/29/2021","1619654400","227035458572"
"4/30/2021","1619740800","228145197990"
"5/1/2021","1619827200","227081892418"
"5/2/2021","1619913600","226513612641"
"5/3/2021","1620000000","226700549357"
"5/4/2021","1620086400","226690606381"
"5/5/2021","1620172800","226402760568"
"5/6/2021","1620259200","226362837272"
"5/7/2021","1620345600","226360298491"
"5/8/2021","1620432000","226121826536"
"5/9/2021","1620518400","226480208639"
"5/10/2021","1620604800","227561486017"
