"Date(UTC)","UnixTimeStamp","Value"
"3/1/2021","1614556800","1405223346"
"3/2/2021","1614643200","1463666228"
"3/3/2021","1614729600","2597776231"
"3/4/2021","1614816000","2637147752"
"3/5/2021","1614902400","1225698012"
"3/6/2021","1614988800","990033753"
"3/7/2021","1615075200","1146676516"
"3/8/2021","1615161600","1213173060"
"3/9/2021","1615248000","2005771339"
"3/10/2021","1615334400","1637695373"
"3/11/2021","1615420800","1554312541"
"3/12/2021","1615507200","1645013160"
"3/13/2021","1615593600","1477537520"
"3/14/2021","1615680000","1764208686"
"3/15/2021","1615766400","1828342883"
"3/16/2021","1615852800","2036578439"
"3/17/2021","1615939200","1816764893"
"3/18/2021","1616025600","2054505263"
"3/19/2021","1616112000","2529671442"
"3/20/2021","1616198400","2479479940"
"3/21/2021","1616284800","1594410342"
"3/22/2021","1616371200","2647538745"
"3/23/2021","1616457600","1933467173"
"3/24/2021","1616544000","1187808250"
"3/25/2021","1616630400","1028325706"
"3/26/2021","1616716800","945192216"
"3/27/2021","1616803200","1035859921"
"3/28/2021","1616889600","8518283603"
"3/29/2021","1616976000","3544497090"
"3/30/2021","1617062400","2347320640"
"3/31/2021","1617148800","2258692150"
"4/1/2021","1617235200","6359078603"
"4/2/2021","1617321600","3947217173"
"4/3/2021","1617408000","2955906891"
"4/4/2021","1617494400","2378175929"
"4/5/2021","1617580800","3356631298"
"4/6/2021","1617667200","3173840673"
"4/7/2021","1617753600","2834198242"
"4/8/2021","1617840000","2706138389"
"4/9/2021","1617926400","2038758124"
"4/10/2021","1618012800","1835011630"
"4/11/2021","1618099200","1326105590"
"4/12/2021","1618185600","1840851117"
"4/13/2021","1618272000","1522699519"
"4/14/2021","1618358400","2219084998"
"4/15/2021","1618444800","1896279019"
"4/16/2021","1618531200","1482139777"
"4/17/2021","1618617600","1529143436"
"4/18/2021","1618704000","2264678755"
"4/19/2021","1618790400","2693836116"
"4/20/2021","1618876800","4386256820"
"4/21/2021","1618963200","4295705747"
"4/22/2021","1619049600","3913748659"
"4/23/2021","1619136000","3074876830"
"4/24/2021","1619222400","2023033501"
"4/25/2021","1619308800","2012273821"
"4/26/2021","1619395200","2044158975"
"4/27/2021","1619481600","1797739156"
"4/28/2021","1619568000","2834427904"
"4/29/2021","1619654400","2848292422"
"4/30/2021","1619740800","6344464870"
"5/1/2021","1619827200","9937622151"
"5/2/2021","1619913600","6422066150"
"5/3/2021","1620000000","8515679242"
"5/4/2021","1620086400","6017013528"
"5/5/2021","1620172800","5512293026"
"5/6/2021","1620259200","6521542518"
"5/7/2021","1620345600","7698404502"
"5/8/2021","1620432000","6417007655"
"5/9/2021","1620518400","6027758329"
"5/10/2021","1620604800","6079740410"
"5/11/2021","1620691200","5432121688"
"5/12/2021","1620777600","6010510057"
"5/13/2021","1620864000","5908367968"
"5/14/2021","1620950400","7803581490"
"5/15/2021","1621036800","5539391478"
"5/16/2021","1621123200","5497699986"
"5/17/2021","1621209600","6075138843"
"5/18/2021","1621296000","4800693741"
"5/19/2021","1621382400","6107379944"
"5/20/2021","1621468800","4391960909"
"5/21/2021","1621555200","3896101158"
"5/22/2021","1621641600","3203037952"
"5/23/2021","1621728000","4372546835"
"5/24/2021","1621814400","3855962638"
"5/25/2021","1621900800","3525323106"
"5/26/2021","1621987200","2917199071"
"5/27/2021","1622073600","2769939449"
"5/28/2021","1622160000","2936452415"
"5/29/2021","1622246400","2728296029"
